Accuracy,Precision,Recall,F1,Threshold,ROC-AUC,PR-AUC,Model,Scenario,Time
0.9199,0.5346,0.6179,0.5732,0.25,0.9055,0.538,Logistic Regression,Baseline,1065.4
0.9427,0.6816,0.6423,0.6614,0.35,0.9431,0.6848,Random Forest,Baseline,1128.9
0.9467,0.7094,0.6575,0.6825,0.35,0.9554,0.7347,LightGBM,Baseline,93.1
0.9454,0.7056,0.6395,0.6709,0.35,0.9526,0.7235,XGBoost,Baseline,82.9
0.9113,0.492,0.5639,0.5255,0.75,0.9089,0.5035,Logistic Regression,Class Weight,1303.9
0.9436,0.6931,0.6322,0.6613,0.35,0.9406,0.678,Random Forest,Class Weight,1038.9
0.9451,0.6901,0.6699,0.6799,0.7,0.9552,0.7325,LightGBM,Class Weight,92.1
0.9447,0.703,0.6313,0.6652,0.85,0.9523,0.7201,XGBoost,Class Weight,84.6
0.9163,0.5165,0.5986,0.5545,0.5,0.9103,0.5298,Logistic Regression,SMOTE,1390.7
0.944,0.6987,0.628,0.6615,0.4,0.9421,0.6761,Random Forest,SMOTE,1366.7
0.9445,0.6827,0.6769,0.6798,0.35,0.9545,0.7256,LightGBM,SMOTE,120.5
0.9423,0.6644,0.6811,0.6726,0.35,0.9525,0.7163,XGBoost,SMOTE,95.7
0.9147,0.5088,0.6026,0.5517,0.5,0.9117,0.5291,Logistic Regression,Undersampling,449.8
0.9417,0.6693,0.6527,0.6609,0.6,0.9478,0.6771,Random Forest,Undersampling,430.8
0.9455,0.6933,0.6708,0.6819,0.6,0.9553,0.7332,LightGBM,Undersampling,44.5
0.9436,0.6848,0.6518,0.6679,0.6,0.9522,0.7206,XGBoost,Undersampling,36.8
